x-axis,,
second,Geoscope,Accelerometer
-3.02E+00,-4.12E-03,3.87E-03
-3.01E+00,-4.12E-03,3.87E-03
-3.01E+00,-4.12E-03,1.19E-02
-3.00E+00,3.92E-03,2.00E-02
-3.00E+00,3.92E-03,2.00E-02
-2.99E+00,3.92E-03,3.87E-03
-2.99E+00,-4.12E-03,3.87E-03
-2.98E+00,-1.22E-02,1.19E-02
-2.98E+00,-4.12E-03,2.00E-02
-2.97E+00,3.92E-03,2.00E-02
-2.97E+00,3.92E-03,2.00E-02
-2.96E+00,3.92E-03,1.19E-02
-2.96E+00,3.92E-03,3.87E-03
-2.95E+00,-4.12E-03,3.87E-03
-2.95E+00,-4.12E-03,1.19E-02
-2.94E+00,-4.12E-03,1.19E-02
-2.94E+00,-4.12E-03,1.19E-02
-2.93E+00,-4.12E-03,1.19E-02
-2.93E+00,-4.12E-03,1.19E-02
-2.92E+00,3.92E-03,2.00E-02
-2.92E+00,3.92E-03,1.19E-02
-2.91E+00,3.92E-03,1.19E-02
-2.91E+00,3.92E-03,1.19E-02
-2.90E+00,-4.12E-03,3.87E-03
-2.90E+00,-1.22E-02,1.19E-02
-2.89E+00,-4.12E-03,1.19E-02
-2.89E+00,-4.12E-03,1.19E-02
-2.88E+00,3.92E-03,2.00E-02
-2.88E+00,3.92E-03,1.19E-02
-2.87E+00,3.92E-03,3.87E-03
-2.87E+00,-4.12E-03,1.19E-02
-2.86E+00,-4.12E-03,1.19E-02
-2.86E+00,-4.12E-03,1.19E-02
-2.85E+00,-4.12E-03,3.87E-03
-2.85E+00,-4.12E-03,3.87E-03
-2.84E+00,-1.22E-02,1.19E-02
-2.84E+00,-4.12E-03,1.19E-02
-2.83E+00,3.92E-03,2.00E-02
-2.83E+00,3.92E-03,2.00E-02
-2.82E+00,3.92E-03,1.19E-02
-2.82E+00,3.92E-03,3.87E-03
-2.81E+00,-4.12E-03,3.87E-03
-2.81E+00,-4.12E-03,1.19E-02
-2.80E+00,3.92E-03,2.00E-02
-2.80E+00,3.92E-03,1.19E-02
-2.79E+00,3.92E-03,1.19E-02
-2.79E+00,-4.12E-03,3.87E-03
-2.78E+00,-4.12E-03,3.87E-03
-2.78E+00,-4.12E-03,2.00E-02
-2.77E+00,-4.12E-03,2.00E-02
-2.77E+00,-4.12E-03,1.19E-02
-2.76E+00,-4.12E-03,3.87E-03
-2.76E+00,-1.22E-02,3.87E-03
-2.75E+00,-1.22E-02,1.19E-02
-2.75E+00,3.92E-03,1.19E-02
-2.74E+00,3.92E-03,2.00E-02
-2.74E+00,3.92E-03,1.19E-02
-2.73E+00,-4.12E-03,3.87E-03
-2.73E+00,-4.12E-03,3.87E-03
-2.72E+00,-4.12E-03,1.19E-02
-2.72E+00,-4.12E-03,2.00E-02
-2.71E+00,3.92E-03,2.00E-02
-2.71E+00,3.92E-03,1.19E-02
-2.70E+00,-4.12E-03,3.87E-03
-2.70E+00,-4.12E-03,1.19E-02
-2.69E+00,-4.12E-03,1.19E-02
-2.69E+00,-4.12E-03,2.00E-02
-2.68E+00,3.92E-03,1.19E-02
-2.68E+00,-4.12E-03,3.87E-03
-2.67E+00,-1.22E-02,3.87E-03
-2.67E+00,-1.22E-02,3.87E-03
-2.66E+00,-4.12E-03,2.00E-02
-2.66E+00,1.20E-02,2.00E-02
-2.65E+00,1.20E-02,1.19E-02
-2.65E+00,3.92E-03,3.87E-03
-2.64E+00,-4.12E-03,3.87E-03
-2.64E+00,-1.22E-02,3.87E-03
-2.63E+00,-4.12E-03,1.19E-02
-2.63E+00,3.92E-03,2.00E-02
-2.62E+00,3.92E-03,1.19E-02
-2.62E+00,-4.12E-03,3.87E-03
-2.61E+00,-1.22E-02,1.19E-02
-2.61E+00,-4.12E-03,1.19E-02
-2.60E+00,3.92E-03,2.00E-02
-2.60E+00,3.92E-03,1.19E-02
-2.59E+00,3.92E-03,3.87E-03
-2.59E+00,-4.12E-03,3.87E-03
-2.58E+00,-2.02E-02,3.87E-03
-2.58E+00,-4.12E-03,1.19E-02
-2.57E+00,3.92E-03,2.00E-02
-2.57E+00,3.92E-03,1.19E-02
-2.56E+00,3.92E-03,1.19E-02
-2.56E+00,3.92E-03,3.87E-03
-2.55E+00,-4.12E-03,1.19E-02
-2.55E+00,-4.12E-03,1.19E-02
-2.54E+00,3.92E-03,2.00E-02
-2.54E+00,3.92E-03,3.87E-03
-2.53E+00,-4.12E-03,3.87E-03
-2.53E+00,-4.12E-03,3.87E-03
-2.52E+00,3.92E-03,1.19E-02
-2.52E+00,3.92E-03,2.80E-02
-2.51E+00,1.20E-02,2.00E-02
-2.51E+00,3.92E-03,1.19E-02
-2.50E+00,-4.12E-03,3.87E-03
-2.50E+00,-1.22E-02,3.87E-03
-2.49E+00,-4.12E-03,1.19E-02
-2.49E+00,-4.12E-03,2.00E-02
-2.48E+00,3.92E-03,1.19E-02
-2.48E+00,3.92E-03,3.87E-03
-2.47E+00,-4.12E-03,3.87E-03
-2.47E+00,-4.12E-03,1.19E-02
-2.46E+00,-4.12E-03,2.00E-02
-2.46E+00,3.92E-03,2.00E-02
-2.45E+00,3.92E-03,1.19E-02
-2.45E+00,-4.12E-03,1.19E-02
-2.44E+00,-4.12E-03,3.87E-03
-2.44E+00,-4.12E-03,1.19E-02
-2.43E+00,3.92E-03,2.00E-02
-2.43E+00,1.20E-02,1.19E-02
-2.42E+00,3.92E-03,1.19E-02
-2.42E+00,3.92E-03,3.87E-03
-2.41E+00,-1.22E-02,3.87E-03
-2.41E+00,-1.22E-02,1.19E-02
-2.40E+00,-4.12E-03,2.00E-02
-2.40E+00,-4.12E-03,1.19E-02
-2.39E+00,-4.12E-03,3.87E-03
-2.39E+00,-4.12E-03,3.87E-03
-2.38E+00,3.92E-03,1.19E-02
-2.38E+00,3.92E-03,2.00E-02
-2.37E+00,3.92E-03,2.00E-02
-2.37E+00,3.92E-03,1.19E-02
-2.36E+00,-4.12E-03,3.87E-03
-2.36E+00,-1.22E-02,1.19E-02
-2.35E+00,-4.12E-03,1.19E-02
-2.35E+00,3.92E-03,2.00E-02
-2.34E+00,1.20E-02,2.00E-02
-2.34E+00,1.20E-02,1.19E-02
-2.33E+00,-4.12E-03,3.87E-03
-2.33E+00,-1.22E-02,1.19E-02
-2.32E+00,-1.22E-02,1.19E-02
-2.32E+00,-4.12E-03,1.19E-02
-2.31E+00,3.92E-03,1.19E-02
-2.31E+00,3.92E-03,3.87E-03
-2.30E+00,-4.12E-03,3.87E-03
-2.30E+00,-4.12E-03,1.19E-02
-2.29E+00,-4.12E-03,1.19E-02
-2.29E+00,3.92E-03,2.00E-02
-2.28E+00,1.20E-02,2.00E-02
-2.28E+00,3.92E-03,3.87E-03
-2.27E+00,-1.22E-02,3.87E-03
-2.27E+00,-1.22E-02,1.19E-02
-2.26E+00,-4.12E-03,2.00E-02
-2.26E+00,3.92E-03,2.00E-02
-2.25E+00,1.20E-02,2.00E-02
-2.25E+00,-4.12E-03,3.87E-03
-2.24E+00,-4.12E-03,1.19E-02
-2.24E+00,-1.22E-02,1.19E-02
-2.23E+00,-4.12E-03,2.00E-02
-2.23E+00,-4.12E-03,1.19E-02
-2.22E+00,3.92E-03,3.87E-03
-2.22E+00,-4.12E-03,3.87E-03
-2.21E+00,-4.12E-03,1.19E-02
-2.21E+00,-4.12E-03,2.00E-02
-2.20E+00,3.92E-03,2.00E-02
-2.20E+00,3.92E-03,2.00E-02
-2.19E+00,3.92E-03,1.19E-02
-2.19E+00,-4.12E-03,-4.17E-03
-2.18E+00,-1.22E-02,1.19E-02
